Company,Ticker,Price,Beta
"APOLLO GLOBAL MANAGEMENT, INC. (XNYS:APO)",APO,$137.65 ,1.68
"APOGEE ENTERPRISES, INC. (XNAS:APOG)",APOG,$42.59 ,1.07
APPLOVIN CORPORATION (XNAS:APP),APP,$572.82 ,2.44
"APPFOLIO, INC. (XNAS:APPF)",APPF,$280.87 ,0.84
APPIAN CORPORATION (XNAS:APPN),APPN,$31.10 ,1.77
"DIGITAL TURBINE, INC. (XNAS:APPS)",APPS,$4.48 ,2.49
APTIV PLC (XNYS:APTV),APTV,$83.30 ,1.54
"AQUESTIVE THERAPEUTICS, INC. (XNAS:AQST)",AQST,$4.95 ,1.69
ANTERO RESOURCES CORPORATION (XNYS:AR),AR,$32.73 ,0.57
ACCURAY INCORPORATED (XNAS:ARAY),ARAY,$1.59 ,1.3
ARCBEST CORPORATION (XNAS:ARCB),ARCB,$72.95 ,1.68
ARCTURUS THERAPEUTICS HOLDINGS INC. (XNAS:ARCT),ARCT,$17.81 ,2.39
"ARDELYX, INC. (XNAS:ARDX)",ARDX,$6.65 ,0.7
"ALEXANDRIA REAL ESTATE EQUITIES, INC. (XNYS:ARE)",ARE,$85.04 ,1.32
ARES MANAGEMENT CORPORATION (XNYS:ARES),ARES,$184.32 ,1.48
"ARHAUS, INC (XNAS:ARHS)",ARHS,$11.22 ,2.59
"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC. (XNYS:ARI)",ARI,$11.07 ,1.66
Aris Water Solutions Inc (XNYS:ARIS),ARIS,$24.02 ,1.68
ARKO CORP. (XNAS:ARKO),ARKO,$5.13 ,0.79
"ARLO TECHNOLOGIES, INC. (XNYS:ARLO)",ARLO,$17.46 ,1.74
ARAMARK (XNYS:ARMK),ARMK,$38.56 ,1.21
ARCHROCK INC. (XNYS:AROC),AROC,$24.79 ,1.05
ARROW FINANCIAL CORPORATION (XNAS:AROW),AROW,$29.14 ,0.79
"ARCUTIS BIOTHERAPEUTICS, INC. (XNAS:ARQT)",ARQT,$17.61 ,2.04
"ARMOUR RESIDENTIAL REIT, INC. (XNYS:ARR)",ARR,$15.39 ,1.4
"ARRAY TECHNOLOGIES, INC. (XNAS:ARRY)",ARRY,$8.01 ,1.76
"ARVINAS, INC. (XNAS:ARVN)",ARVN,$7.93 ,2.39
"ARROW ELECTRONICS, INC. (XNYS:ARW)",ARW,$127.65 ,1.11
"ARROWHEAD PHARMACEUTICALS, INC. (XNAS:ARWR)",ARWR,$28.43 ,1.04
"Amer Sports, Inc (XNYS:AS)",AS,$36.80 ,0.87
"ASANA, INC. (XNYS:ASAN)",ASAN,$13.38 ,1.14
ASSOCIATED BANC-CORP (XNYS:ASB),ASB,$26.04 ,0.83
ARDMORE SHIPPING CORPORATION (XNYS:ASC),ASC,$12.09 ,0.08
ASGN Incorporated (XNYS:ASGN),ASGN,$52.16 ,0.96
ASHLAND INC. (XNYS:ASH),ASH,$53.90 ,0.51
ADVANSIX INC. (XNYS:ASIX),ASIX,$21.46 ,1.67
AERSALE CORPORATION (XNAS:ASLE),ASLE,$8.43 ,0.28
"ACADEMY SPORTS AND OUTDOORS, INC. (XNAS:ASO)",ASO,$48.53 ,1.31
"ASPEN AEROGELS, INC. (XNYS:ASPN)",ASPN,$6.52 ,2.82
"ASTEC INDUSTRIES, INC. (XNAS:ASTE)",ASTE,$47.26 ,1.43
"ASTRANA HEALTH, INC. (XNAS:ASTH)",ASTH,$30.18 ,0.84
"AST SPACEMOBILE, INC. (XNAS:ASTS)",ASTS,$38.26 ,2.44
"ASURE SOFTWARE, INC. (XNAS:ASUR)",ASUR,$8.07 ,0.45
"ALPHATEC HOLDINGS, INC. (XNAS:ATEC)",ATEC,$15.54 ,1.08
"A10 NETWORKS, INC. (XNYS:ATEN)",ATEN,$17.83 ,1.28
ANTERIX INC. (XNAS:ATEX),ATEX,$21.61 ,0.83
ADTALEM GLOBAL EDUCATION INC. (XNYS:ATGE),ATGE,$137.95 ,0.84
ATI INC (XNYS:ATI),ATI,$76.24 ,1.3
ATKORE INC (XNYS:ATKR),ATKR,$61.85 ,2.13
Atmus Filtration Technologies Inc (XNYS:ATMU),ATMU,$46.15 ,1.25
"ATN INTERNATIONAL, INC. (XNAS:ATNI)",ATNI,$15.75 ,0.67
ATMOS ENERGY CORPORATION (XNYS:ATO),ATO,$165.50 ,0.73
"APTARGROUP, INC. (XNYS:ATR)",ATR,$136.08 ,0.56
"ATRICURE, INC. (XNAS:ATRC)",ATRC,$36.45 ,1.61
ASTRONICS CORPORATION (XNAS:ATRO),ATRO,$41.29 ,1.65
"ALTICE USA, INC. (XNYS:ATUS)",ATUS,$2.38 ,1.59
"ASTRIA THERAPEUTICS, INC. (XNAS:ATXS)",ATXS,$7.60 ,0.39
"ATYR PHARMA, INC. (XNAS:ATYR)",ATYR,$5.37 ,0.96
ANGLOGOLD ASHANTI (PTY) LTD (XNYS:AU),AU,$64.69 ,#FIELD!
ATLANTIC UNION BANKSHARES CORPORATION (XNYS:AUB),AUB,$35.10 ,0.87
Aurinia Pharmaceuticals Inc. (XNAS:AUPH),AUPH,$12.37 ,1.29
"AURORA INNOVATION, INC. (XNAS:AUR)",AUR,$5.59 ,2.49
"AURA BIOSCIENCES, INC. (XNAS:AURA)",AURA,$6.48 ,0.45
AVISTA CORPORATION (XNYS:AVA),AVA,$36.24 ,0.37
"AEROVIRONMENT, INC. (XNAS:AVAV)",AVAV,$254.68 ,0.94
"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",AVB,$195.69 ,0.87
"ARRIVENT BIOPHARMA, INC. (XNAS:AVBP)",AVBP,$19.28 ,1.07
AMERICAN VANGUARD CORPORATION (XNYS:AVD),AVD,$5.45 ,1.26
AVADEL PHARMACEUTICALS PUBLIC LIMITED COMPANY (XNAS:AVDL),AVDL,$15.49 ,1.47
Avidxchange Holdings Inc (XNAS:AVDX),AVDX,$9.93 ,1.2
BROADCOM INC. (XNAS:AVGO),AVGO,$363.80 ,1.2
"ATEA PHARMACEUTICALS, INC. (XNAS:AVIR)",AVIR,$3.28 ,0.25
"AVANOS MEDICAL, INC. (XNYS:AVNS)",AVNS,$12.30 ,1.16
AVIENT CORPORATION (XNYS:AVNT),AVNT,$37.33 ,1.45
"AVIAT NETWORKS, INC. (XNAS:AVNW)",AVNW,$24.67 ,1.61
"MISSION PRODUCE, INC. (XNAS:AVO)",AVO,$11.88 ,0.57
"AVEPOINT, INC. (XNAS:AVPT)",AVPT,$16.01 ,1.43
"AVNET, INC. (XNAS:AVT)",AVT,$53.96 ,1.09
"AVANTOR, INC. (XNYS:AVTR)",AVTR,$12.92 ,1
ANAVEX LIFE SCIENCES CORP. (XNAS:AVXL),AVXL,$9.38 ,0.86
AVERY DENNISON CORPORATION (XNYS:AVY),AVY,$167.47 ,0.97
"ARMSTRONG WORLD INDUSTRIES, INC. (XNYS:AWI)",AWI,$198.07 ,1.46
"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",AWK,$138.20 ,0.71
AMERICAN STATES WATER COMPANY (XNYS:AWR),AWR,$73.30 ,0.64
"AXOS FINANCIAL, INC. (XNYS:AX)",AX,$91.45 ,1.32
"AXOGEN, INC. (XNAS:AXGN)",AXGN,$16.81 ,1.03
"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC. (XNYS:AXL)",AXL,$6.07 ,1.53
"AXON ENTERPRISE, INC. (XNAS:AXON)",AXON,$763.51 ,1.44
AMERICAN EXPRESS COMPANY (XNYS:AXP),AXP,$328.82 ,1.3
AXIS CAPITAL HOLDINGS LIMITED (XNYS:AXS),AXS,$98.28 ,0.75
"AXSOME THERAPEUTICS, INC. (XNAS:AXSM)",AXSM,$123.11 ,0.52
AXALTA COATING SYSTEMS LTD. (XNYS:AXTA),AXTA,$31.68 ,1.28
ACUITY INC. (XNYS:AYI),AYI,$337.88 ,1.65
"AUTOZONE, INC. (XNYS:AZO)",AZO,"$4,375.32 ",0.4
"AZENTA, INC. (XNAS:AZTA)",AZTA,$31.00 ,1.64
AZZ INC. (XNYS:AZZ),AZZ,$118.08 ,1.31
THE BOEING COMPANY (XNYS:BA),BA,$227.18 ,1.49
BANK OF AMERICA CORPORATION (XNYS:BAC),BAC,$50.72 ,1.34
BOOZ ALLEN HAMILTON HOLDING CORPORATION (XNYS:BAH),BAH,$103.22 ,0.43
BALL CORPORATION (XNYS:BALL),BALL,$50.85 ,1.1
BROOKFIELD ASSET MANAGEMENT LTD. (XNYS:BAM),BAM,$56.90 ,1.38
"BANC OF CALIFORNIA, INC. (XNYS:BANC)",BANC,$16.76 ,0.7
BANDWIDTH INC. (XNAS:BAND),BAND,$15.46 ,1.9
BANCFIRST CORPORATION (XNAS:BANF),BANF,$134.12 ,0.78
BANNER CORPORATION (XNAS:BANR),BANR,$66.30 ,0.91
"COUCHBASE, INC. (XNAS:BASE)",BASE,$24.42 ,0.93
"ATLANTA BRAVES HOLDINGS, INC. (XNAS:BATRA)",BATRA,$45.74 ,0.86
"ATLANTA BRAVES HOLDINGS, INC. (XNAS:BATRK)",BATRK,$41.99 ,0.86
BAXTER INTERNATIONAL INC. (XNYS:BAX),BAX,$24.44 ,0.59
"BigBear.ai Holdings, Inc. (XNYS:BBAI)",BBAI,$4.88 ,3.16
BBBY,BBBY,#FIELD!,#FIELD!
"BridgeBio Pharma, Inc. (XNAS:BBIO)",BBIO,$52.95 ,1.37
"BETA BIONICS, INC. (XNAS:BBNX)",BBNX,$25.30 ,1.3
"BARRETT BUSINESS SERVICES, INC. (XNAS:BBSI)",BBSI,$47.07 ,0.98
BOOMBIT JOINT STOCK COMPANY (XWAR:BBT),BBT,$6.74 ,0.37
BROOKFIELD BUSINESS CORPORATION (XNYS:BBUC),BBUC,$34.43 ,1.66
"BUILD-A-BEAR WORKSHOP, INC. (XNYS:BBW)",BBW,$72.91 ,0.69
"BATH & BODY WORKS, INC. (XNYS:BBWI)",BBWI,$27.59 ,1.55
"Best Buy Co., Inc. (XNYS:BBY)",BBY,$78.26 ,1.24
BRUNSWICK CORPORATION (XNYS:BC),BC,$66.05 ,1.36
California BanCorp (XNAS:BCAL),BCAL,$17.15 ,0.56
BICARA THERAPEUTICS INC. (XNAS:BCAX),BCAX,$11.81 ,1.77
"BCB BANCORP, INC. (XNAS:BCBP)",BCBP,$8.84 ,0.75
BOISE CASCADE COMPANY (XNYS:BCC),BCC,$88.33 ,1.3
BAYCOM CORP (XNAS:BCML),BCML,$30.04 ,0.55
THE BRINK'S COMPANY (XNYS:BCO),BCO,$115.82 ,1.44
BALCHEM CORPORATION (XNAS:BCPC),BCPC,$157.71 ,0.95
"BIOCRYST PHARMACEUTICALS, INC. (XNAS:BCRX)",BCRX,$8.06 ,1.07
BELDEN INC. (XNYS:BDC),BDC,$133.12 ,1.28
BRANDYWINE REALTY TRUST (XNYS:BDN),BDN,$4.47 ,1.46
"BECTON, DICKINSON AND COMPANY (XNYS:BDX)",BDX,$190.22 ,0.27
BLOOM ENERGY CORPORATION (XNYS:BE),BE,$66.75 ,3.39
BEAM THERAPEUTICS INC. (XNAS:BEAM),BEAM,$20.96 ,2.17
